"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"258","SAN JUAN ","CO ",15,6,"HMO ",74,17476,236.162162162162
"259","SAN MIGUEL ","CO ",3,2,"COST ",363,84,0.231404958677686
"260","SEDGWICK ","CO ",6,1,"COST ",659,1649,2.50227617602428
"261","SUMMIT ","CO ",13,10,"COST ",1404,19476,13.8717948717949
"262","TELLER ","CO ",3,2,"COST ",2688,382,0.142113095238095
"263","WELD ","CO ",7,2,"HCPP ",21912,2316,0.105695509309967
"264","FAIRFIELD ","CT ",12,4,"PPO ",127678,15226,0.11925312113285
"265","HARTFORD ","CT ",5,1,"PPO ",144628,5279,0.0365005393146555
"266","LITCHFIELD ","CT ",1,0,"HMO ",31029,44,0.00141802829611009
"267","MIDDLESEX ","CT ",20,8,"HMO ",25611,49911,1.94881105774862
"268","NEW HAVEN ","CT ",6,2,"PPO ",135269,11300,0.0835372480021291
"269","NEW LONDON ","CT ",2,0,"HMO ",41545,46,0.00110723312071248
"270","TOLLAND ","CT ",1,0,"HMO ",17595,35,0.00198920147769253
"271","WINDHAM ","CT ",2,1,"HMO ",17344,125,0.00720710332103321
"272","DISTRICT OF COLUMBIA ","DC ",4,2,"HCPP ",77597,5478,0.0705955127131204
"273","KENT ","DE ",11,6,"PPO ",21468,13880,0.646543692938327
"274","NEW CASTLE ","DE ",6,1,"HCPP ",71811,610,0.00849452033810976
"275","SUSSEX ","DE ",8,3,"COST ",38990,1345,0.0344960246216979
"276","ALACHUA ","FL ",0,0,"HCPP ",29968,0,0
"277","BAKER ","FL ",4,2,"HMO ",3220,330,0.102484472049689
"278","BAY ","FL ",1,0,"HMO ",27635,11,0.000398045956214945
"279","BRADFORD ","FL ",3,2,"HCPP ",3779,178,0.0471024080444562
"280","BREVARD ","FL ",9,4,"HCPP ",110823,25616,0.231143354718786
"281","BROWARD ","FL ",35,8,"HCPP ",248637,106050,0.426525416571146
"282","CHARLOTTE ","FL ",8,1,"HCPP ",41290,3386,0.0820053281666263
"283","CITRUS ","FL ",3,0,"HCPP ",40087,83,0.00207049666974331
"284","COLLIER ","FL ",6,0,"HMO ",59745,185,0.00309649343041259
"285","DE SOTO ","FL ",2,2,"HCPP ",5189,104,0.0200423973790711
"286","DIXIE ","FL ",0,0,"HMO ",3102,0,0
"287","DUVAL ","FL ",8,3,"HCPP ",106738,9004,0.0843560868669078
"288","FLAGLER ","FL ",3,2,"HMO ",20064,4919,0.245165470494418
"289","GADSDEN ","FL ",2,2,"COST ",7739,1131,0.146142912520998
"290","GILCHRIST ","FL ",0,0,"HCPP ",2760,0,0
"291","GLADES ","FL ",1,1,"HMO ",1100,46,0.0418181818181818
"292","GULF ","FL ",0,0,"HCPP ",2883,0,0
"293","HAMILTON ","FL ",25,11,"HMO ",2166,28817,13.3042474607572
"294","HARDEE ","FL ",0,0,"HCPP ",3583,0,0
"295","HENDRY ","FL ",1,0,"HMO ",4385,21,0.00478905359179019
"296","HERNANDO ","FL ",9,5,"HCPP ",46165,12467,0.270053070507961
"297","HIGHLANDS ","FL ",3,0,"HCPP ",27680,75,0.00270953757225434
"298","HILLSBOROUGH ","FL ",21,6,"HCPP ",155348,40304,0.259443314365167
"299","HOLMES ","FL ",4,3,"HCPP ",4003,463,0.11566325256058
"300","INDIAN RIVER ","FL ",4,2,"HMO ",33911,1962,0.0578573324290053
